form_number,revision,title,statute,published,filename,size_bytes,status,pdf_url,detail_url
AOC-CR-271,,Thông Báo Cho Phạm Nhân Đã Ưng Thuận Mặc Nhiên,20-38.4,"December 1, 2006",AOC-CR-271 - Thông Báo Cho Phạm Nhân Đã Ưng Thuận Mặc Nhiên.pdf,131584,downloaded,https://www.nccourts.gov/assets/documents/forms/cr271_0.pdf?VersionId=At8qXPB17b277QMwMaVQeRATwxNivcWk,https://www.nccourts.gov/documents/forms/implied-consent-offense-notice
AOC-CR-633C,,Lệnh Xóa Bỏ Bản Án Có Điều Kiện Chiếu Theo G.S. 15A-1341(a4) (Dùng Cho Các Tội Vi Phạm Trong Khoảng Từ Ngày 1 Tháng Mười Hai Năm,15A-1341(a5),"December 1, 2016",AOC-CR-633C - Lệnh Xóa Bỏ Bản Án Có Điều Kiện Chiếu Theo G.S. 15A-1341(a4) (Dùng Cho Các Tội Vi Phạm Trong Khoảng Từ Ngày 1 Tháng Mười.pdf,645826,downloaded,https://www.nccourts.gov/assets/documents/forms/cr633c_0.pdf?VersionId=CswwB2tPRfqrHAgGhxPJ7ZIWCgyWckIl,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a5-for-offenses-committed-dec-1-2011-nov-30-2016
AOC-CR-633A,,"Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed Before Dec. 1, 2009)",15A-1341(a5),"December 1, 2016","AOC-CR-633A - Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed Before Dec. 1, 2009).pdf",571729,downloaded,https://www.nccourts.gov/assets/documents/forms/cr633a_0.pdf?VersionId=4XuR7c9rGP1j85PzARjPtM7hf6Z7CEl2,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a5-for-offenses-committed-before-dec-1-2009
AOC-CR-632C,,Lệnh Xóa Bỏ Bản Án Có Điều Kiện Chiếu Theo G.S. 15A-1341(a5) (Dùng Cho Các Tội Vi Phạm Trong Khoảng Từ Ngày 1 Tháng Mười Hai Năm,15A-1341(a4),"December 1, 2016",AOC-CR-632C - Lệnh Xóa Bỏ Bản Án Có Điều Kiện Chiếu Theo G.S. 15A-1341(a5) (Dùng Cho Các Tội Vi Phạm Trong Khoảng Từ Ngày 1 Tháng Mười.pdf,664030,downloaded,https://www.nccourts.gov/assets/documents/forms/cr632c_0.pdf?VersionId=OVWFXs7hokBQwCu0TNxOehCE6Ip9PaCG,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a4-for-offenses-committed-dec-1-2011-nov-30-2016
AOC-CR-632B,,"Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Dec. 1, 2009 - Nov. 30, 2011)",15A-1341(a4),"December 1, 2016","AOC-CR-632B - Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Dec. 1, 2009 - Nov. 30, 2011).pdf",613140,downloaded,https://www.nccourts.gov/assets/documents/forms/cr632b_0.pdf?VersionId=A_yWeB3g3bE1daPKhntMwOBNfJClFpAE,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a4-for-offenses-committed-dec-1-2009-nov-30-2011
AOC-CR-611,,"Bảng Tính Tiền Bồi Thường, Thông Báo Và Lệnh (Tuyên Án Lần Đầu)","15A-1340.34,15A-1340.35,15A-1340.36,15A-1340.37,15A-1340.38,15A-1343(d)","March 1, 2017","AOC-CR-611 - Bảng Tính Tiền Bồi Thường, Thông Báo Và Lệnh (Tuyên Án Lần Đầu).pdf",317224,downloaded,https://www.nccourts.gov/assets/documents/forms/cr611_2.pdf?VersionId=OU07ZWciVC_1auYGnBbIWnHq1B4QduUA,https://www.nccourts.gov/documents/forms/restitution-worksheet-notice-and-order-initial-sentencing
AOC-CR-632A,,"Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Before Dec. 1, 2009)",15A-1341(a4),"December 1, 2016","AOC-CR-632A - Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Before Dec. 1, 2009).pdf",589596,downloaded,https://www.nccourts.gov/assets/documents/forms/cr632a_0.pdf?VersionId=sFfcfkEu80pL0D6Bj5SF1apj7E7IF2jy,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a4-for-offenses-committed-before-dec-1-2009
AOC-CR-405,,Mẫu Từ Bỏ Quyền Được Xét Xử Trước Bồi Thẩm Đoàn,15A-1201,"December 1, 2015",AOC-CR-405 - Mẫu Từ Bỏ Quyền Được Xét Xử Trước Bồi Thẩm Đoàn.pdf,153658,downloaded,https://www.nccourts.gov/assets/documents/forms/cr405-en.pdf?VersionId=WdTO_sLzu7fyF8e5veEWo5fod5tIedKc,https://www.nccourts.gov/documents/forms/waiver-of-jury-trial
AOC-CR-227,,Từ Bỏ Quyền Có Luật Sư,"7A-457, 15A-1242","October 1, 2015",AOC-CR-227 - Từ Bỏ Quyền Có Luật Sư.pdf,161163,downloaded,https://www.nccourts.gov/assets/documents/forms/cr227_0.pdf?VersionId=5BaEBkuJm5MGGlbQ1HhSGSuXDkeG848q,https://www.nccourts.gov/documents/forms/waiver-of-counsel
AOC-CR-302,,Judgment Suspending Sentence And Commitment On Special Probation,"15A-1341,15A-1342,15A-1343,15A-1346","December 1, 2014",AOC-CR-302 - Judgment Suspending Sentence And Commitment On Special Probation.pdf,373427,downloaded,https://www.nccourts.gov/assets/documents/forms/cr302_0.pdf?VersionId=i.VLurJ0WdE0DxJIHTJsFnMi_kt4OF3t,https://www.nccourts.gov/documents/forms/judgment-suspending-sentence-and-commitment-on-special-probation
